Event Name,Event Date,Result,Fighter1,Fighter2,Weight Class,Method,Round,KD_1,KD_2,TD_1,TD_2,Sub_1,Sub_2,Strikes_1,Strikes_2,Minutes,Seconds,total_time_seconds,Fighter,Total_Submissions
UFC Fight Night: Dern vs. Hill,2023-05-20,Mackenzie Dern,Mackenzie Dern,Angela Hill,Women's Strawweight,U-DEC,5,1,0,3,0,0,0,126,66,5,0,1500,Mackenzie Dern / Angela Hill,0
UFC Fight Night: Dern vs. Hill,2023-05-20,Anthony Hernandez,Anthony Hernandez,Edmen Shahbazyan,Middleweight,KO/TKO-Elbows,3,0,0,6,1,4,1,63,30,1,1,183,Anthony Hernandez / Edmen Shahbazyan,5
UFC Fight Night: Dern vs. Hill,2023-05-20,Loopy Godinez,Loopy Godinez,Emily Ducote,Catch Weight,U-DEC,3,0,0,1,0,0,0,132,112,5,0,900,Loopy Godinez / Emily Ducote,0
UFC Fight Night: Dern vs. Hill,2023-05-20,Joaquin Buckley,Joaquin Buckley,Andre Fialho,Welterweight,KO/TKO-Kick,2,1,0,2,0,0,0,26,22,4,15,510,Joaquin Buckley / Andre Fialho,0
UFC Fight Night: Dern vs. Hill,2023-05-20,Diego Ferreira,Diego Ferreira,Michael Johnson,Lightweight,KO/TKO-Punch,2,1,0,0,0,0,0,30,32,1,50,220,Diego Ferreira / Michael Johnson,0
UFC Fight Night: Dern vs. Hill,2023-05-20,Viacheslav Borshchev,Viacheslav Borshchev,Maheshate,Lightweight,KO/TKO-Punch,2,3,0,0,0,0,0,85,32,2,37,314,Viacheslav Borshchev / Maheshate,0
UFC Fight Night: Dern vs. Hill,2023-05-20,Karolina Kowalkiewicz,Karolina Kowalkiewicz,Vanessa Demopoulos,Women's Strawweight,U-DEC,3,0,0,0,0,0,0,139,68,5,0,900,Karolina Kowalkiewicz / Vanessa Demopoulos,0
UFC Fight Night: Dern vs. Hill,2023-05-20,Gilbert Urbina,Gilbert Urbina,Orion Cosce,Welterweight,KO/TKO-Kick,2,1,0,2,0,1,0,51,16,2,55,350,Gilbert Urbina / Orion Cosce,1
UFC Fight Night: Dern vs. Hill,2023-05-20,Rodrigo Nascimento,Rodrigo Nascimento,Ilir Latifi,Heavyweight,S-DEC,3,0,0,0,2,0,0,68,49,5,0,900,Rodrigo Nascimento / Ilir Latifi,0
UFC Fight Night: Dern vs. Hill,2023-05-20,Chase Hooper,Chase Hooper,Nick Fiore,Lightweight,U-DEC,3,0,0,1,4,1,0,149,51,5,0,900,Chase Hooper / Nick Fiore,1
UFC Fight Night: Dern vs. Hill,2023-05-20,Natalia Silva,Natalia Silva,Victoria Leonardo,Women's Flyweight,KO/TKO-Punch,1,1,0,0,0,0,0,20,7,2,58,178,Natalia Silva / Victoria Leonardo,0
